"Date","Price","Open","High","Low","Change %"
"Jul 16, 2019","0.6702","0.6722","0.6738","0.6696","-0.24%"
"Jul 15, 2019","0.6718","0.6673","0.6736","0.6671","0.37%"
"Jul 14, 2019","0.6694","0.6692","0.6698","0.6677","0.02%"
"Jul 12, 2019","0.6692","0.6660","0.6700","0.6658","0.47%"
"Jul 11, 2019","0.6661","0.6649","0.6690","0.6643","0.21%"
"Jul 10, 2019","0.6647","0.6605","0.6658","0.6567","0.64%"
"Jul 09, 2019","0.6605","0.6622","0.6633","0.6601","-0.26%"
"Jul 08, 2019","0.6622","0.6630","0.6654","0.6617","-0.14%"
"Jul 07, 2019","0.6631","0.6629","0.6645","0.6622","0.03%"
"Jul 05, 2019","0.6629","0.6686","0.6696","0.6602","-0.88%"
"Jul 04, 2019","0.6688","0.6711","0.6721","0.6677","-0.27%"
"Jul 03, 2019","0.6706","0.6674","0.6721","0.6669","0.49%"
"Jul 02, 2019","0.6673","0.6670","0.6682","0.6656","0.01%"
"Jul 01, 2019","0.6672","0.6726","0.6734","0.6664","-0.74%"
"Jun 30, 2019","0.6722","0.6726","0.6731","0.6717","0.04%"
"Jun 28, 2019","0.6719","0.6699","0.6722","0.6690","0.28%"
"Jun 27, 2019","0.6700","0.6678","0.6703","0.6671","0.30%"
"Jun 26, 2019","0.6680","0.6638","0.6694","0.6608","0.60%"
"Jun 25, 2019","0.6640","0.6619","0.6663","0.6616","0.32%"
"Jun 24, 2019","0.6619","0.6580","0.6628","0.6571","0.32%"
"Jun 23, 2019","0.6598","0.6578","0.6598","0.6578","0.14%"
"Jun 21, 2019","0.6589","0.6587","0.6606","0.6554","0.03%"
"Jun 20, 2019","0.6587","0.6539","0.6597","0.6535","0.73%"
"Jun 19, 2019","0.6539","0.6532","0.6563","0.6513","0.14%"
"Jun 18, 2019","0.6530","0.6495","0.6539","0.6490","0.54%"
"Jun 17, 2019","0.6495","0.6492","0.6516","0.6489","-0.05%"
"Jun 16, 2019","0.6498","0.6500","0.6503","0.6489","0.09%"
"Jun 14, 2019","0.6492","0.6570","0.6575","0.6488","-1.17%"
"Jun 13, 2019","0.6569","0.6577","0.6589","0.6556","-0.08%"
"Jun 12, 2019","0.6574","0.6582","0.6594","0.6566","-0.14%"
"Jun 11, 2019","0.6583","0.6610","0.6613","0.6569","-0.39%"
"Jun 10, 2019","0.6609","0.6656","0.6680","0.6605","-0.71%"
"Jun 09, 2019","0.6656","0.6666","0.6678","0.6650","-0.15%"
"Jun 07, 2019","0.6666","0.6621","0.6683","0.6614","0.66%"
"Jun 06, 2019","0.6622","0.6622","0.6645","0.6615","0.03%"
"Jun 05, 2019","0.6620","0.6607","0.6667","0.6604","0.20%"
"Jun 04, 2019","0.6607","0.6599","0.6622","0.6576","0.14%"
"Jun 03, 2019","0.6598","0.6529","0.6606","0.6525","0.99%"
"Jun 02, 2019","0.6533","0.6538","0.6540","0.6526","-0.05%"
"May 31, 2019","0.6536","0.6511","0.6549","0.6497","0.38%"
"May 30, 2019","0.6511","0.6512","0.6529","0.6495","0.00%"
"May 29, 2019","0.6511","0.6542","0.6554","0.6504","-0.49%"
"May 28, 2019","0.6543","0.6546","0.6560","0.6540","-0.03%"
"May 27, 2019","0.6545","0.6552","0.6562","0.6541","-0.15%"
"May 26, 2019","0.6555","0.6543","0.6560","0.6543","0.03%"
"May 24, 2019","0.6553","0.6519","0.6557","0.6512","0.52%"
"May 23, 2019","0.6519","0.6495","0.6528","0.6482","0.37%"
"May 22, 2019","0.6495","0.6508","0.6512","0.6492","-0.22%"
"May 21, 2019","0.6509","0.6534","0.6544","0.6501","-0.38%"
"May 20, 2019","0.6534","0.6536","0.6552","0.6519","0.11%"
"May 19, 2019","0.6527","0.6539","0.6552","0.6521","0.09%"
"May 17, 2019","0.6521","0.6536","0.6548","0.6514","-0.23%"
"May 16, 2019","0.6536","0.6563","0.6584","0.6533","-0.41%"
"May 15, 2019","0.6563","0.6577","0.6580","0.6551","-0.20%"
"May 14, 2019","0.6576","0.6568","0.6592","0.6565","0.12%"
"May 13, 2019","0.6568","0.6586","0.6607","0.6563","-0.33%"
"May 12, 2019","0.6590","0.6599","0.6605","0.6582","-0.14%"
"May 10, 2019","0.6599","0.6591","0.6615","0.6583","0.12%"
"May 09, 2019","0.6591","0.6574","0.6598","0.6568","0.24%"
"May 08, 2019","0.6575","0.6609","0.6609","0.6527","-0.42%"
"May 07, 2019","0.6603","0.6613","0.6631","0.6588","-0.15%"
"May 06, 2019","0.6613","0.6617","0.6631","0.6599","0.09%"
"May 05, 2019","0.6607","0.6614","0.6629","0.6600","-0.59%"
"May 03, 2019","0.6646","0.6621","0.6654","0.6606","0.42%"
"May 02, 2019","0.6618","0.6623","0.6641","0.6608","-0.08%"
"May 01, 2019","0.6623","0.6669","0.6680","0.6616","-0.78%"
"Apr 30, 2019","0.6675","0.6665","0.6686","0.6655","0.09%"
"Apr 29, 2019","0.6669","0.6660","0.6682","0.6652","0.05%"
"Apr 28, 2019","0.6666","0.6660","0.6667","0.6647","0.06%"
"Apr 26, 2019","0.6662","0.6625","0.6683","0.6615","0.54%"
"Apr 25, 2019","0.6626","0.6591","0.6631","0.6580","0.50%"
"Apr 24, 2019","0.6593","0.6658","0.6659","0.6582","-0.98%"
"Apr 23, 2019","0.6658","0.6681","0.6687","0.6629","-0.33%"
"Apr 22, 2019","0.6680","0.6678","0.6691","0.6673","-0.07%"
"Apr 21, 2019","0.6685","0.6687","0.6690","0.6678","-0.03%"
"Apr 19, 2019","0.6687","0.6684","0.6696","0.6678","0.06%"
"Apr 18, 2019","0.6683","0.6728","0.6732","0.6673","-0.67%"
"Apr 17, 2019","0.6728","0.6768","0.6777","0.6669","-0.52%"
"Apr 16, 2019","0.6763","0.6765","0.6771","0.6741","0.00%"
"Apr 15, 2019","0.6763","0.6763","0.6784","0.6750","-0.06%"
"Apr 14, 2019","0.6767","0.6775","0.6775","0.6761","0.07%"
"Apr 12, 2019","0.6762","0.6728","0.6784","0.6713","0.51%"
"Apr 11, 2019","0.6728","0.6766","0.6772","0.6723","-0.56%"
"Apr 10, 2019","0.6766","0.6749","0.6775","0.6738","0.31%"
"Apr 09, 2019","0.6745","0.6740","0.6760","0.6736","0.07%"
"Apr 08, 2019","0.6740","0.6736","0.6755","0.6722","0.13%"
"Apr 07, 2019","0.6731","0.6735","0.6738","0.6729","-0.03%"
"Apr 05, 2019","0.6733","0.6755","0.6767","0.6718","-0.30%"
"Apr 04, 2019","0.6753","0.6779","0.6801","0.6748","-0.37%"
"Apr 03, 2019","0.6778","0.6758","0.6802","0.6744","0.31%"
"Apr 02, 2019","0.6757","0.6806","0.6806","0.6739","-0.72%"
"Apr 01, 2019","0.6806","0.6798","0.6839","0.6797","-0.25%"
"Mar 31, 2019","0.6823","0.6830","0.6833","0.6813","0.28%"
"Mar 29, 2019","0.6804","0.6778","0.6825","0.6774","0.41%"
"Mar 28, 2019","0.6776","0.6796","0.6829","0.6774","-0.32%"
"Mar 27, 2019","0.6798","0.6908","0.6916","0.6787","-1.58%"
"Mar 26, 2019","0.6907","0.6909","0.6926","0.6894","0.00%"
"Mar 25, 2019","0.6907","0.6873","0.6920","0.6869","0.44%"
"Mar 24, 2019","0.6877","0.6875","0.6886","0.6871","0.00%"
"Mar 22, 2019","0.6877","0.6875","0.6899","0.6865","0.00%"
"Mar 21, 2019","0.6877","0.6883","0.6940","0.6857","-0.09%"
"Mar 20, 2019","0.6883","0.6855","0.6918","0.6827","0.41%"
"Mar 19, 2019","0.6855","0.6855","0.6873","0.6841","0.03%"
"Mar 18, 2019","0.6853","0.6835","0.6876","0.6824","0.15%"
"Mar 17, 2019","0.6843","0.6845","0.6851","0.6830","-0.03%"
"Mar 15, 2019","0.6845","0.6823","0.6860","0.6822","0.32%"
"Mar 14, 2019","0.6823","0.6859","0.6867","0.6809","-0.51%"
"Mar 13, 2019","0.6858","0.6861","0.6863","0.6829","-0.04%"
"Mar 12, 2019","0.6861","0.6830","0.6875","0.6827","0.44%"
"Mar 11, 2019","0.6831","0.6798","0.6837","0.6785","0.41%"
"Mar 10, 2019","0.6803","0.6804","0.6809","0.6785","-0.01%"
"Mar 08, 2019","0.6804","0.6753","0.6812","0.6749","0.74%"
"Mar 07, 2019","0.6754","0.6769","0.6793","0.6745","-0.22%"
"Mar 06, 2019","0.6769","0.6793","0.6803","0.6753","-0.32%"
"Mar 05, 2019","0.6791","0.6819","0.6829","0.6769","-0.43%"
"Mar 04, 2019","0.6820","0.6801","0.6834","0.6794","-0.01%"
"Mar 03, 2019","0.6821","0.6801","0.6834","0.6801","0.29%"
"Mar 01, 2019","0.6801","0.6807","0.6840","0.6794","-0.10%"
"Feb 28, 2019","0.6808","0.6848","0.6856","0.6796","-0.57%"
"Feb 27, 2019","0.6847","0.6888","0.6903","0.6834","-0.60%"
"Feb 26, 2019","0.6888","0.6884","0.6903","0.6871","0.06%"
"Feb 25, 2019","0.6884","0.6842","0.6903","0.6825","0.28%"
"Feb 24, 2019","0.6865","0.6845","0.6872","0.6836","0.29%"
"Feb 22, 2019","0.6845","0.6802","0.6855","0.6758","0.65%"
"Feb 21, 2019","0.6801","0.6857","0.6878","0.6797","-0.82%"
"Feb 20, 2019","0.6857","0.6885","0.6886","0.6850","-0.39%"
"Feb 19, 2019","0.6884","0.6847","0.6889","0.6814","0.53%"
"Feb 18, 2019","0.6848","0.6877","0.6895","0.6839","-0.23%"
"Feb 17, 2019","0.6864","0.6866","0.6878","0.6854","-0.01%"
"Feb 15, 2019","0.6865","0.6837","0.6875","0.6809","0.41%"
"Feb 14, 2019","0.6837","0.6797","0.6857","0.6791","0.59%"
"Feb 13, 2019","0.6797","0.6736","0.6853","0.6727","0.92%"
"Feb 12, 2019","0.6735","0.6733","0.6745","0.6720","0.04%"
"Feb 11, 2019","0.6732","0.6750","0.6775","0.6727","-0.41%"
"Feb 10, 2019","0.6760","0.6746","0.6765","0.6738","0.21%"
"Feb 08, 2019","0.6746","0.6749","0.6768","0.6729","-0.03%"
"Feb 07, 2019","0.6748","0.6776","0.6779","0.6744","-0.40%"
"Feb 06, 2019","0.6775","0.6901","0.6906","0.6765","-1.73%"
"Feb 05, 2019","0.6894","0.6886","0.6907","0.6871","0.13%"
"Feb 04, 2019","0.6885","0.6909","0.6910","0.6870","-0.17%"
"Feb 03, 2019","0.6897","0.6898","0.6913","0.6890","-0.01%"
"Feb 01, 2019","0.6898","0.6918","0.6943","0.6890","-0.29%"
"Jan 31, 2019","0.6918","0.6893","0.6940","0.6886","0.35%"
"Jan 30, 2019","0.6894","0.6835","0.6914","0.6822","0.86%"
"Jan 29, 2019","0.6835","0.6830","0.6863","0.6816","0.07%"
"Jan 28, 2019","0.6830","0.6826","0.6874","0.6822","-0.13%"
"Jan 27, 2019","0.6839","0.6842","0.6851","0.6822","0.00%"
"Jan 25, 2019","0.6839","0.6763","0.6852","0.6747","1.12%"
"Jan 24, 2019","0.6763","0.6788","0.6807","0.6756","-0.35%"
"Jan 23, 2019","0.6787","0.6751","0.6801","0.6743","0.53%"
"Jan 22, 2019","0.6751","0.6732","0.6756","0.6707","0.27%"
"Jan 21, 2019","0.6733","0.6743","0.6764","0.6714","-0.10%"
"Jan 20, 2019","0.6740","0.6743","0.6766","0.6738","-0.04%"
"Jan 18, 2019","0.6743","0.6764","0.6785","0.6737","-0.31%"
"Jan 17, 2019","0.6764","0.6776","0.6788","0.6727","-0.18%"
"Jan 16, 2019","0.6776","0.6821","0.6832","0.6755","-0.60%"
"Jan 15, 2019","0.6817","0.6823","0.6850","0.6800","-0.09%"
"Jan 14, 2019","0.6823","0.6823","0.6835","0.6797","0.06%"
"Jan 13, 2019","0.6819","0.6833","0.6835","0.6817","-0.20%"
"Jan 11, 2019","0.6833","0.6783","0.6845","0.6778","0.78%"
"Jan 10, 2019","0.6780","0.6791","0.6796","0.6771","-0.12%"
"Jan 09, 2019","0.6788","0.6724","0.6811","0.6722","0.97%"
"Jan 08, 2019","0.6723","0.6755","0.6760","0.6707","-0.46%"
"Jan 07, 2019","0.6754","0.6731","0.6770","0.6720","0.18%"
"Jan 06, 2019","0.6742","0.6731","0.6750","0.6719","0.16%"
"Jan 04, 2019","0.6731","0.6694","0.6753","0.6672","0.57%"
"Jan 03, 2019","0.6693","0.6654","0.6701","0.6590","0.59%"
"Jan 02, 2019","0.6654","0.6717","0.6726","0.6653","-0.94%"
"Jan 01, 2019","0.6717","0.6719","0.6725","0.6707","-0.03%"
"Dec 31, 2018","0.6719","0.6715","0.6724","0.6691","0.19%"
"Dec 30, 2018","0.6706","0.6713","0.6716","0.6706","-0.12%"
"Dec 28, 2018","0.6714","0.6704","0.6723","0.6693","0.15%"
"Dec 27, 2018","0.6704","0.6728","0.6743","0.6694","-0.39%"
"Dec 26, 2018","0.6730","0.6727","0.6747","0.6716","0.06%"
"Dec 25, 2018","0.6726","0.6728","0.6748","0.6722","-0.03%"
"Dec 24, 2018","0.6728","0.6714","0.6750","0.6706","0.18%"
"Dec 23, 2018","0.6716","0.6726","0.6726","0.6714","-0.04%"
"Dec 21, 2018","0.6719","0.6776","0.6792","0.6706","-0.84%"
"Dec 20, 2018","0.6776","0.6768","0.6792","0.6725","0.16%"
"Dec 19, 2018","0.6765","0.6845","0.6873","0.6764","-1.20%"
"Dec 18, 2018","0.6847","0.6802","0.6881","0.6801","0.68%"
"Dec 17, 2018","0.6801","0.6779","0.6819","0.6779","0.13%"
"Dec 16, 2018","0.6792","0.6797","0.6802","0.6787","-0.07%"
"Dec 14, 2018","0.6797","0.6861","0.6864","0.6778","-0.89%"
"Dec 13, 2018","0.6858","0.6854","0.6881","0.6842","0.03%"
"Dec 12, 2018","0.6856","0.6878","0.6902","0.6824","-0.32%"
"Dec 11, 2018","0.6878","0.6872","0.6914","0.6863","0.10%"
"Dec 10, 2018","0.6871","0.6871","0.6906","0.6838","0.39%"
"Dec 09, 2018","0.6844","0.6870","0.6871","0.6841","-0.35%"
"Dec 07, 2018","0.6868","0.6873","0.6899","0.6846","-0.12%"
"Dec 06, 2018","0.6876","0.6899","0.6902","0.6856","-0.32%"
"Dec 05, 2018","0.6898","0.6932","0.6946","0.6891","-0.45%"
"Dec 04, 2018","0.6929","0.6927","0.6971","0.6918","0.01%"
"Dec 03, 2018","0.6928","0.6906","0.6942","0.6889","0.23%"
"Dec 02, 2018","0.6912","0.6916","0.6918","0.6898","0.44%"
"Nov 30, 2018","0.6882","0.6860","0.6889","0.6854","0.35%"
"Nov 29, 2018","0.6858","0.6870","0.6884","0.6837","-0.19%"
"Nov 28, 2018","0.6871","0.6788","0.6888","0.6784","1.22%"
"Nov 27, 2018","0.6788","0.6770","0.6812","0.6753","0.25%"
"Nov 26, 2018","0.6771","0.6773","0.6817","0.6755","-0.01%"
"Nov 25, 2018","0.6772","0.6762","0.6774","0.6755","-0.13%"
"Nov 23, 2018","0.6781","0.6814","0.6821","0.6767","-0.48%"
"Nov 22, 2018","0.6814","0.6835","0.6836","0.6790","-0.29%"
"Nov 21, 2018","0.6834","0.6789","0.6855","0.6781","0.63%"
"Nov 20, 2018","0.6791","0.6838","0.6871","0.6788","-0.69%"
"Nov 19, 2018","0.6838","0.6873","0.6879","0.6816","-0.35%"
"Nov 18, 2018","0.6862","0.6866","0.6874","0.6859","-0.23%"
"Nov 16, 2018","0.6878","0.6832","0.6885","0.6799","0.67%"
"Nov 15, 2018","0.6832","0.6799","0.6842","0.6787","0.49%"
